Qualtrics ID,QID,Question,Answer
Q1,148,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sycophants
Q2,49,What broad group of animals are the first true tetrapods?,amphibians
Q5,6,What is the most abundant metal of the earth's crust?,aluminum
Q6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
Q10,21,What living species of bird is considered the largest of the raptors?,golden eagles
Q11,128,"Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness.",succinctness
Q12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
Q14,135,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
Q15,114,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",iconoclastic
Q16,146,"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",evokes
Q17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
Q19,131,"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",repudiated
Q20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
Q21,55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
Q22,37,What are the hormones that cause a plant to grow?,gibberellins
Q23,52,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
Q28,64,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
Q29,14,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",abiotic factors
Q30,88,What should you do if you are unable to evacuate a burning building?,Stay low under the smoke
Q31,84,To what does the acronym SLM refer?,Sound Level Meter
Q32,103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
Q33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
Q34,32,How often should women perform a breast self-exam?,monthly
Q35,117,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",dubious
Q36,136,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
Q38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
Q39,132,"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",indulgently
Q40,45,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",diameter
Q42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
Q43,104,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,stolidity
Q44,53,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
Q46,5,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
Q47,15,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",volcanic activity
Q50,27,The lithosphere is divided into a dozen major and several minor what?,plates
Q51,65,What does CERT stand for?,Community Emergency Response Team
Q53,138,"Dolly Madison, the wife of President James Madison, was known especially for her _____ , remaining calm even as the British invaded Washington D.C. during the War of 1812.",equanimity
Q54,125,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
Q58,46,What are classified by climatic factors and types of primary producers?,terrestrial biomes
Q59,75,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,FALSE
Q60,79,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
