Qualtrics ID,QID,Question,Answer
Q2,49,What broad group of animals are the first true tetrapods?,amphibians
Q5,6,What is the most abundant metal of the earth's crust?,aluminum
Q6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
Q10,21,What living species of bird is considered the largest of the raptors?,golden eagles
Q12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
Q17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
Q20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
Q21,55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
Q22,37,What are the hormones that cause a plant to grow?,gibberellins
Q28,64,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
Q29,14,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",abiotic factors
Q31,84,To what does the acronym SLM refer?,Sound Level Meter
Q32,103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
Q33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
Q35,117,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",dubious
Q36,136,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
Q38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
Q41,42,"What arises due to crossing over, independent assortment, and the random union of gametes?",genetic variation
Q42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
Q46,5,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
Q50,27,The lithosphere is divided into a dozen major and several minor what?,plates
Q52,35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
Q54,125,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
Q56,99,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
Q60,79,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
