Qualtrics ID,QID,Question,Answer
5,6,What is the most abundant metal of the earth's crust?,aluminum
6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
7,93,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",FALSE
10,21,What living species of bird is considered the largest of the raptors?,golden eagles
12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
14,135,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
15,114,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",iconoclastic
17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
21,55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
22,37,What are the hormones that cause a plant to grow?,gibberellins
23,52,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
28,64,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
31,84,To what does the acronym SLM refer?,Sound Level Meter
32,103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
34,32,How often should women perform a breast self-exam?,monthly
36,136,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
47,15,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",volcanic activity
49,100,"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",sorrow
51,65,What does CERT stand for?,Community Emergency Response Team
52,35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
56,99,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
58,46,What are classified by climatic factors and types of primary producers?,terrestrial biomes
59,75,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,FALSE
60,79,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
